Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,26.049999,26.490000,25.770000,26.059999,25.983593,58800
2018-05-08,26.020000,26.120001,25.760000,25.889999,25.814091,64000
2018-05-09,25.860001,25.980000,25.709999,25.730000,25.654560,93100
2018-05-10,25.709999,25.709999,25.360001,25.580000,25.505001,140900
2018-05-11,25.389999,25.719999,25.370001,25.700001,25.700001,90800
2018-05-14,25.700001,25.790001,25.469999,25.540001,25.540001,106100
2018-05-15,25.480000,25.559999,25.299999,25.330000,25.330000,96700
2018-05-16,25.360001,25.610001,25.180000,25.549999,25.549999,149600
2018-05-17,25.549999,25.639999,25.340000,25.480000,25.480000,79800
2018-05-18,25.400000,25.670000,25.330000,25.549999,25.549999,124300
2018-05-21,25.590000,25.760000,25.360001,25.629999,25.629999,108100
2018-05-22,25.660000,25.660000,25.350000,25.360001,25.360001,179200
2018-05-23,25.370001,25.440001,25.020000,25.170000,25.170000,76300
2018-05-24,25.100000,25.139999,24.850000,25.000000,25.000000,121800
2018-05-25,25.000000,25.270000,25.000000,25.160000,25.160000,83600
2018-05-29,24.990000,25.400000,24.889999,25.040001,25.040001,80900
2018-05-30,25.250000,25.580000,25.090000,25.360001,25.360001,93600
2018-05-31,25.290001,25.320000,25.049999,25.150000,25.150000,82400
2018-06-01,25.200001,25.200001,24.580000,24.600000,24.600000,89300
2018-06-04,24.629999,24.770000,24.420000,24.629999,24.629999,101200
2018-06-05,24.570000,24.620001,24.469999,24.619400,24.619400,21541
